"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"12:00:00 20-Jun-2026",2085.43,2085.43,2085.43,,64.86,64.86,64.86,
"00:00:00 20-Jun-2026",2085.43,2085.43,2085.43,,64.86,64.86,64.86,
"12:00:00 19-Jun-2026",2101.76,2064.19,2085.43,,65.37,64.20,64.86,
"00:00:00 19-Jun-2026",2105.43,2035.24,2082.41,,65.49,63.30,64.77,
"12:00:00 18-Jun-2026",2171.45,2093.36,2098.85,,67.54,65.11,65.28,
"00:00:00 18-Jun-2026",2245.10,2141.45,2148.43,,69.83,66.61,66.82,
"12:00:00 17-Jun-2026",2300.24,2149.13,2199.50,,71.55,66.85,68.41,
"00:00:00 17-Jun-2026",2267.06,2234.60,2242.67,,70.51,69.50,69.75,
"12:00:00 16-Jun-2026",2288.01,2231.92,2247.21,,71.17,69.42,69.90,
"00:00:00 16-Jun-2026",2271.83,2220.97,2268.28,,70.66,69.08,70.55,
"12:00:00 15-Jun-2026",2292.36,2242.22,2248.78,,71.30,69.74,69.94,
"00:00:00 15-Jun-2026",2283.71,2247.10,2275.23,,71.03,69.89,70.77,
"12:00:00 14-Jun-2026",2261.57,2186.09,2260.88,,70.34,67.99,70.32,
"00:00:00 14-Jun-2026",2186.09,2186.09,2186.09,,67.99,67.99,67.99,
"12:00:00 13-Jun-2026",2186.69,2186.09,2186.09,,68.01,67.99,67.99,
"00:00:00 13-Jun-2026",2186.66,2186.66,2186.66,,68.01,68.01,68.01,
"12:00:00 12-Jun-2026",2197.47,2128.89,2186.66,,68.35,66.22,68.01,
"00:00:00 12-Jun-2026",2179.50,2118.58,2159.80,,67.79,65.90,67.18,
"12:00:00 11-Jun-2026",2184.75,2020.29,2170.85,,67.95,62.84,67.52,
"00:00:00 11-Jun-2026",2078.02,1994.30,2049.95,,64.63,62.03,63.76,
"12:00:00 10-Jun-2026",2113.71,1977.27,2000.98,,65.74,61.50,62.24,
"00:00:00 10-Jun-2026",2098.65,2039.83,2050.01,,65.28,63.45,63.76,
"12:00:00 09-Jun-2026",2216.33,2070.46,2086.50,,68.94,64.40,64.90,
"00:00:00 09-Jun-2026",2213.64,2168.80,2204.27,,68.85,67.46,68.56,
"12:00:00 08-Jun-2026",2215.72,2177.12,2181.46,,68.92,67.72,67.85,
"00:00:00 08-Jun-2026",2203.44,2128.27,2200.17,,68.53,66.20,68.43,
"12:00:00 07-Jun-2026",2193.77,2153.99,2192.55,,68.23,67.00,68.20,
"00:00:00 07-Jun-2026",2181.35,2181.35,2181.35,,67.85,67.85,67.85,
"12:00:00 06-Jun-2026",2181.35,2181.35,2181.35,,67.85,67.85,67.85,
"00:00:00 06-Jun-2026",2181.35,2181.05,2181.35,,67.85,67.84,67.85,
"12:00:00 05-Jun-2026",2362.58,2172.74,2181.05,,73.48,67.58,67.84,
"00:00:00 05-Jun-2026",2373.35,2292.14,2345.90,,73.82,71.29,72.97,
"12:00:00 04-Jun-2026",2412.72,2354.24,2373.35,,75.04,73.23,73.82,
"00:00:00 04-Jun-2026",2400.95,2339.97,2400.33,,74.68,72.78,74.66,
"12:00:00 03-Jun-2026",2397.11,2330.28,2353.94,,74.56,72.48,73.22,
"00:00:00 03-Jun-2026",2422.20,2377.99,2395.95,,75.34,73.96,74.52,
"12:00:00 02-Jun-2026",2465.39,2389.35,2406.23,,76.68,74.32,74.84,
"00:00:00 02-Jun-2026",2475.84,2396.83,2453.03,,77.01,74.55,76.30,
"12:00:00 01-Jun-2026",2440.30,2374.47,2412.96,,75.90,73.85,75.05,
"00:00:00 01-Jun-2026",2452.55,2406.21,2434.30,,76.28,74.84,75.72,
"12:00:00 31-May-2026",2434.28,2361.27,2430.69,,75.71,73.44,75.60,
"00:00:00 31-May-2026",2420.77,2420.77,2420.77,,75.29,75.29,75.29,
"12:00:00 30-May-2026",2420.77,2420.77,2420.77,,75.29,75.29,75.29,
"00:00:00 30-May-2026",2420.77,2420.01,2420.77,,75.29,75.27,75.29,
"12:00:00 29-May-2026",2464.37,2398.63,2420.01,,76.65,74.61,75.27,
"00:00:00 29-May-2026",2457.32,2410.53,2435.26,,76.43,74.98,75.75,
"12:00:00 28-May-2026",2444.08,2340.82,2434.07,,76.02,72.81,75.71,
"00:00:00 28-May-2026",2409.42,2308.75,2347.79,,74.94,71.81,73.02,
"12:00:00 27-May-2026",2417.29,2373.15,2395.64,,75.19,73.81,74.51,
"00:00:00 27-May-2026",2492.09,2363.53,2373.15,,77.51,73.51,73.81,
"12:00:00 26-May-2026",2491.88,2427.55,2486.41,,77.51,75.51,77.34,
"00:00:00 26-May-2026",2497.52,2432.97,2443.86,,77.68,75.67,76.01,
"12:00:00 25-May-2026",2523.00,2481.35,2497.52,,78.47,77.18,77.68,
"00:00:00 25-May-2026",2531.37,2485.94,2509.17,,78.73,77.32,78.04,
"12:00:00 24-May-2026",2534.14,2428.22,2513.26,,78.82,75.53,78.17,
"00:00:00 24-May-2026",2428.22,2428.22,2428.22,,75.53,75.53,75.53,
"12:00:00 23-May-2026",2428.22,2428.22,2428.22,,75.53,75.53,75.53,
"00:00:00 23-May-2026",2428.22,2428.22,2428.22,,75.53,75.53,75.53,
"12:00:00 22-May-2026",2458.44,2410.80,2428.22,,76.47,74.98,75.53,
"00:00:00 22-May-2026",2476.08,2430.85,2437.40,,77.01,75.61,75.81,
"12:00:00 21-May-2026",2478.98,2395.05,2464.27,,77.10,74.49,76.65,
"00:00:00 21-May-2026",2473.61,2398.79,2411.52,,76.94,74.61,75.01,
"12:00:00 20-May-2026",2462.27,2393.07,2441.54,,76.59,74.43,75.94,
"00:00:00 20-May-2026",2437.28,2352.10,2435.72,,75.81,73.16,75.76,
"12:00:00 19-May-2026",2455.02,2351.65,2386.47,,76.36,73.14,74.23,
"00:00:00 19-May-2026",2535.85,2427.72,2435.60,,78.87,75.51,75.76,
"12:00:00 18-May-2026",2536.48,2449.67,2529.93,,78.89,76.19,78.69,
"00:00:00 18-May-2026",2477.34,2375.63,2456.62,,77.05,73.89,76.41,
"12:00:00 17-May-2026",2472.86,2421.52,2464.10,,76.91,75.32,76.64,
"00:00:00 17-May-2026",2442.79,2442.79,2442.79,,75.98,75.98,75.98,
"12:00:00 16-May-2026",2442.79,2442.79,2442.79,,75.98,75.98,75.98,
"00:00:00 16-May-2026",2442.79,2442.79,2442.79,,75.98,75.98,75.98,
"12:00:00 15-May-2026",2527.31,2435.31,2442.79,,78.61,75.75,75.98,
